pool_id,dex,percentage
0x5fd12bbb709a59c9f3bf9c690bff75edc6c4dcfd,bnb__pancakeswap__3,10.9
0xcc82e9b425386fa958900083e8c5fecce1bd228f,bnb__pancakeswap__3,10.9
0x0b3a262876037476d6f8ca1d60c31b4a9a1934a0,bnb__pancakeswap__3,10.9
0xa5067360b13fc7a2685dc82dcd1bf2b4b8d7868b,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xcf30172e708b3c90b670f41218c164eb290ae019,bnb__pancakeswap__3,10.9
0xcec31052610aaf0693d6b4d34e055687af3aeee6,bnb__pancakeswap__3,10.9
0x2b30ba2617a048c82a091a1465ccc56a312bbf65,bnb__pancakeswap__3,10.9
0xafb2da14056725e3ba3a30dd846b6bbbd7886c56,bnb__pancakeswap__3,10.9
0x5af771b03202215f122607ada10925d1ae71a422,bnb__pancakeswap__3,10.9
0xb7021120a77d68243097bfde152289db6d623407,bnb__pancakeswap__3,10.9
0x6bbc40579ad1bbd243895ca0acb086bb6300d636,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x5f2900e5a20ea81bd4b0af6485a0eabf783dd56e,bnb__pancakeswap__3,10.9
0x5f8755c8e3dcd6f49627f0f5844117f7f7db2529,bnb__pancakeswap__3,10.9
0x81a9b5f18179ce2bf8f001b8a634db80771f1824,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xf2688fb5b81049dfb7703ada5e770543770612c4,bnb__pancakeswap__3,10.9
0xd0e226f674bbf064f54ab47f42473ff80db98cba,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x8f45b99bf65cdbf9bc0c0b4846d6a324d2de5314,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0xdb25c09d96c165b62f6e6f9d9b17174738d897ba,bnb__pancakeswap__3,10.9
0xa2c1e0237bf4b58bc9808a579715df57522f41b2,bnb__pancakeswap__3,10.9
0x25e7343414e67deb55c630dca362a6cc357b9e5b,bnb__pancakeswap__3,10.9
0xcb0ae3b8337f0cc35563e6b9fc357f2298c0d24a,bnb__pancakeswap__3,10.9
0xd0e226f674bbf064f54ab47f42473ff80db98cba,bnb__pancakeswap__3,10.9
0x7f51bbf34156ba802deb0e38b7671dc4fa32041d,bnb__pancakeswap__3,10.9
0x62edaf2a56c9fb55be5f9b1399ac067f6a37013b,bnb__pancakeswap__3,10.9
0x7f51c8aaa6b0599abd16674e2b17fec7a9f674a1,bnb__pancakeswap__3,10.9
0x7eb6b5ab4a075071e339e09d4f665a91b6007745,bnb__pancakeswap__3,10.9
0x7f51c8aaa6b0599abd16674e2b17fec7a9f674a1,bnb__pancakeswap__3,10.9
0x7e9558d7991be58c8dc787eb6cb07e4c3f084a03,bnb__pancakeswap__3,10.9
0xcec31052610aaf0693d6b4d34e055687af3aeee6,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0xf045a8033549f285c13955007d670997b792de75,bnb__pancakeswap__3,10.9
0x130ac8f2ab216c4fec46336940ff8021893856ec,bnb__pancakeswap__3,10.9
0xfab21cb9467e9badd22a2de57bcde5f53d925973,bnb__pancakeswap__3,10.9
0xc49ecead76bc6ea4a3b0d044555bf8208c526ef7,bnb__pancakeswap__3,10.9
0x3b649abb1050ed0294f14de88c47110e72aa24d5,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x90a54475d512b8f3852351611c38fad30a513491,bnb__pancakeswap__3,10.9
0x8e76a42daa206fa114884cc68f82f225e210e5b8,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
0x1936be860d93b0ff98f3a9b83254d61a78930b76,bnb__pancakeswap__3,10.9
0xfc75f4e78bf71ed5066db9ca771d4ccb7c1264e0,bnb__pancakeswap__3,10.9
0xbe141893e4c6ad9272e8c04bab7e6a10604501a5,bnb__pancakeswap__3,10.9
0x35346986b68b336d370f126b4f69ac6712a986b5,bnb__pancakeswap__3,10.9
0x90a54475d512b8f3852351611c38fad30a513491,bnb__pancakeswap__3,10.9
0x01ba080ec6e2a0d36dfa736b8f0e445152432541,bnb__pancakeswap__3,10.9
0x7a404e6687bfb5f566232f935a52328b63a4968e,bnb__pancakeswap__3,10.9
0x547466e4124cd3d48443087f479eb0fa8eaf7065,bnb__pancakeswap__3,10.9
0xb4c46e1bfa0b86b4e2149f661570a57a0a799797,bnb__pancakeswap__3,10.9
0x9f599f3d64a9d99ea21e68127bb6ce99f893da61,bnb__pancakeswap__3,10.9
0xd58522d5cac3ada9e99e8bab822382b656b34e87,bnb__pancakeswap__3,10.9
0x6bbc40579ad1bbd243895ca0acb086bb6300d636,bnb__pancakeswap__3,10.9
0x4e5ec0060115e2cf5cb6b653ce8b59878a23c36b,bnb__pancakeswap__3,10.9
0x36696169c63e42cd08ce11f5deebbcebae652050,bnb__pancakeswap__3,10.9
0x172fcd41e0913e95784454622d1c3724f546f849,bnb__pancakeswap__3,10.9
